Country;Year;ab_us;on_us;health_us;nhealth_us;acc_us;of_us;be_us;gu_us;qf_us;ab_per;on_per;ab_ppp;on_ppp;health_per;health_ppp;nhealth_per;nhealth_ppp;acc_per;acc_ppp;of_per;of_ppp;be_per;be_ppp;gu_per;gu_ppp;qf_per;qf_ppp;;real_gdp_per;total_netspend_usd;total_moving_usd;share_onw0_mo;share_on_mo;share_onw0_t;share_on_t;share_nhealth_mo;share_nhealth_t;share_health_mo;share_health_t;share_acc_mo;share_acc_t;share_nhealth_on;share_health_on;share_of_mo;share_of_t;share_be_mo;share_be_t;share_gu_mo;share_gu_t;share_be_of;share_gu_of;total_intensity_per;total_mo_per
HUN;2020;5.99755;5.99755;1.76942;4.22813;0.00000;6.62702;0.00000;6.62702;0.00000;4.00000;4.00000;1.93539;1.93539;1.18009;0.57099;2.81991;1.36441;0.00000;0.00000;4.41982;2.13852;0.00000;0.00000;4.41982;2.13852;0.00000;0.00000;;309.88816247971;12.62457164141080000000000000;12.62457164141080000000000000;47.506951%;47.506951%;47.506951%;47.506951%;33.491307%;33.491307%;14.015644%;14.015644%;0.000000%;0.000000%;70.497698%;29.502302%;52.493049%;52.493049%;0.000000%;0.000000%;52.493049%;52.493049%;0.000000%;100.000000%;4.073912%;4.073912%
POL;2020;44.70973;44.70973;2.16543;42.54430;0.00000;31.58978;12.73782;18.85197;0.00000;7.67699;7.67699;3.67853;3.67853;0.37182;0.17816;7.30517;3.50037;0.00000;0.00000;5.42420;2.59908;2.18718;1.04802;3.23702;1.55106;0.00000;0.00000;;1215.42286899201;76.29951317207330000000000000;76.29951317207330000000000000;58.597663%;58.597663%;58.597663%;58.597663%;55.759599%;55.759599%;2.838063%;2.838063%;0.000000%;0.000000%;95.156695%;4.843305%;41.402337%;41.402337%;16.694491%;16.694491%;24.707846%;24.707846%;40.322581%;59.677419%;6.277610%;6.277610%
AUS;2021;31.27802;31.2780;2.3475;28.9305;0.0000;0.0002;0.0001;0.0001;0.0000;2.09249;2.0925;2.55015;2.5502;0.1570;0.1914;1.9354;2.3588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;1226.51571721458;31.27822617722780000000000000;31.27822617722780000000000000;99.999335%;99.999335%;99.999335%;99.999335%;92.494002%;92.494002%;7.505333%;7.505333%;0.000000%;0.000000%;92.494617%;7.505383%;0.000665%;0.000665%;0.000285%;0.000285%;0.000380%;0.000380%;42.857143%;57.142857%;2.550169%;2.550169%
CAN;2021;26.46848;21.6853;6.4210;15.2643;4.7832;-0.9786;0.0082;-0.9868;0.0000;1.56008;1.2782;1.54015;1.2582;0.3785;0.3726;0.8997;0.8857;0.2819;0.2775;-0.0577;-0.0568;0.0005;0.0005;-0.0582;-0.0573;0.0000;0.0000;;1723.48815255626;20.70673610033990000000000000;22.66385358535400000000000000;95.682293%;95.682293%;104.725799%;104.725799%;67.350682%;73.716398%;28.331611%;31.009401%;21.104904%;23.099655%;70.389912%;29.610088%;-4.317707%;-4.725799%;0.036224%;0.039648%;-4.353931%;-4.765447%;-0.838967%;100.838967%;1.201443%;1.314999%
FRA;2021;71.42683;54.8268;18.3725;36.4543;16.6000;-5.4391;-5.8973;0.4582;0.0000;2.72954;2.0952;2.52033;1.8860;0.7021;0.6320;1.3931;1.2540;0.6344;0.5710;-0.2079;-0.1871;-0.2254;-0.2029;0.0175;0.0158;0.0000;0.0000;;2907.09024981028;49.38771887346180000000000000;60.26588888591770000000000000;90.974853%;90.974853%;111.013031%;111.013031%;60.489148%;73.812525%;30.485706%;37.200506%;27.544652%;33.611654%;66.489965%;33.510035%;-9.025147%;-11.013031%;-9.785511%;-11.940873%;0.760364%;0.927842%;108.424945%;-8.424945%;1.698871%;2.073066%
DEU;2021;171.15877;171.1588;24.0877;147.0711;0.0000;3.5949;0.3018;3.2930;0.0000;4.75796;4.7580;4.11263;4.1126;0.6696;0.5788;4.0884;3.5338;0.0000;0.0000;0.0999;0.0864;0.0084;0.0073;0.0915;0.0791;0.0000;0.0000;;4161.78471555813;174.75365023988700000000000000;174.75365023988700000000000000;97.942885%;97.942885%;97.942885%;97.942885%;84.159106%;84.159106%;13.783779%;13.783779%;0.000000%;0.000000%;85.926717%;14.073283%;2.057115%;2.057115%;0.172726%;0.172726%;1.884389%;1.884389%;8.396505%;91.603495%;4.199007%;4.199007%
ITA;2021;77.96636;77.9452;12.0121;65.9331;0.0211;1.7575;0.0098;1.7477;0.0000;4.06465;4.0635;3.33543;3.3343;0.6262;0.5139;3.4373;2.8205;0.0011;0.0009;0.0916;0.0752;0.0005;0.0004;0.0911;0.0748;0.0000;0.0000;;2337.65981585712;79.70272240129130000000000000;79.70272240129130000000000000;97.794944%;97.794944%;97.794944%;97.794944%;82.723771%;82.723771%;15.071172%;15.071172%;0.026510%;0.026510%;84.589006%;15.410994%;2.205056%;2.205056%;0.012308%;0.012308%;2.192748%;2.192748%;0.558179%;99.441821%;3.409509%;3.409509%
JPN;2021;-154.64843;61.5008;15.0566;46.4442;-216.1493;0.1174;0.0000;0.1174;1.0234;-3.38819;1.3474;-3.58064;1.1550;0.3299;0.2828;1.0175;0.8722;-4.7356;-4.0593;0.0250;0.0214;0.0000;0.0000;0.0026;0.0022;0.0224;0.0192;;5324.85222823165;61.61819819119030000000000000;61.38347706268400000000000000;100.191192%;100.191192%;99.809536%;99.809536%;75.662439%;75.374220%;24.528753%;24.435316%;-352.129398%;-350.788038%;75.518054%;24.481946%;0.191192%;0.190464%;0.000000%;0.000000%;0.191192%;0.190464%;0.000000%;100.000000%;1.157181%;1.152773%
KOR;2021;48.80246;48.7498;7.6352;41.1145;0.0527;0.1132;0.0000;0.1132;0.1997;2.97913;2.9759;2.26377;2.2606;0.4661;0.3541;2.5098;1.9065;0.0032;0.0024;0.0191;0.0145;0.0000;0.0000;0.0069;0.0053;0.0122;0.0093;;2156.53957143070;48.86300180794910000000000000;48.86300180794910000000000000;99.768233%;99.768233%;99.768233%;99.768233%;84.142441%;84.142441%;15.625792%;15.625792%;0.107874%;0.107874%;84.337908%;15.662092%;0.231767%;0.231767%;0.000000%;0.000000%;0.231767%;0.231767%;0.000000%;100.000000%;2.265806%;2.265806%
ESP;2021;54.41444;54.9777;16.9157;38.0621;-0.5633;0.4565;0.0019;0.4546;0.0302;4.11010;4.1527;3.01767;3.0602;1.2777;0.9416;2.8750;2.1186;-0.0425;-0.0314;0.0368;0.0271;0.0001;0.0001;0.0343;0.0253;0.0023;0.0017;;1796.52769554142;55.43425040876370000000000000;55.43425040876370000000000000;99.176490%;99.176490%;99.176490%;99.176490%;68.661663%;68.661663%;30.514827%;30.514827%;-1.016167%;-1.016167%;69.231794%;30.768206%;0.823510%;0.823510%;0.003479%;0.003479%;0.820031%;0.820031%;0.422510%;99.577490%;3.085633%;3.085633%
GBR;2021;88.69431;81.6218;-13.8516;95.4734;7.0725;16.2220;0.0408;16.1812;0.0000;2.80910;2.5851;2.99837;2.7744;-0.4387;-0.4708;3.0238;3.2452;0.2240;0.2404;0.5138;0.5514;0.0013;0.0014;0.5125;0.5500;0.0000;0.0000;;2941.98833677897;97.84381313443770000000000000;97.84381313443770000000000000;83.420514%;83.420514%;83.420514%;83.420514%;97.577317%;97.577317%;-14.156803%;-14.156803%;7.228355%;7.228355%;116.970410%;-16.970410%;16.579486%;16.579486%;0.041699%;0.041699%;16.537788%;16.537788%;0.251508%;99.748492%;3.325772%;3.325772%
USA;2021.000000000;1824.980000000;1825.000000000;203.500000000;1621.500000000;-0.020000000;0.000000000;0.000000000;0.000000000;0.000000000;9.157420198;9.157520555;9.136679746;9.136780102;1.021126265;1.018813562;8.136394290;8.117966540;-0.000100356;-0.000100129;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;;19974.213887168;1825.000000000;1825.000000000;100.000000%;100.000000%;100.000000%;100.000000%;88.849315%;88.849315%;11.150685%;11.150685%;-0.001096%;-0.001096%;88.849315%;11.150685%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;9.136780%;9.136780%
MEX;2021.0000000;-0.0360768;0.0000062;2.6565000;-2.6564938;-0.0360830;-1.8221374;-0.9509236;-0.8712138;1.6475248;-0.0184584;-0.0156376;-0.0112195;-0.0083987;0.1920387;0.1031406;-0.2076763;-0.1115392;-0.0028209;-0.0015150;-0.0136507;-0.0073315;-0.0743402;-0.0399268;-0.0681087;-0.0365800;0.1287983;0.0691753;;2381.6675592;-1.8221312;1.8221312;-0.000338%;0.000338%;-0.000338%;-0.000338%;-145.790478%;145.790478%;145.790816%;-145.790816%;-1.980263%;1.980263%;0.000000%;0.000000%;-100.000338%;100.000338%;-52.187440%;52.187440%;-47.812898%;47.812898%;52.187263%;47.812737%;-0.076507%;0.076507%
TUR;2021;17.76997;17.6239;0.7512;16.8727;0.1461;2.4997;0.0140;2.4858;2.8780;1.78225;1.7676;0.76981;0.7552;0.0753;0.0322;1.6923;0.7230;0.0146;0.0063;0.5394;0.2304;0.0014;0.0006;0.2493;0.1065;0.2887;0.1233;;2333.78340649119;20.12362486297490000000000000;20.12362486297490000000000000;87.578221%;87.578221%;87.578221%;87.578221%;83.845296%;83.845296%;3.732925%;3.732925%;0.725775%;0.725775%;95.737610%;4.262390%;12.421779%;12.421779%;0.069370%;0.069370%;12.352409%;12.352409%;0.558451%;99.441549%;0.862275%;0.862275%
AUT;2021;29.31341;29.3134;5.5977;23.7157;0.0000;1.9673;0.0000;1.9673;0.0000;7.08140;7.0814;6.25554;6.2555;1.3523;1.1946;5.7291;5.0610;0.0000;0.0000;0.4753;0.4198;0.0000;0.0000;0.4753;0.4198;0.0000;0.0000;;468.59916169989;31.28075103631760000000000000;31.28075103631760000000000000;93.710684%;93.710684%;93.710684%;93.710684%;75.815608%;75.815608%;17.895076%;17.895076%;0.000000%;0.000000%;80.903910%;19.096090%;6.289316%;6.289316%;0.000000%;0.000000%;6.289316%;6.289316%;0.000000%;100.000000%;6.675375%;6.675375%
BEL;2021;4.58955;5.5750;1.7364;3.8387;-0.9855;0.8447;0.6878;0.1570;0.0000;0.92689;1.1259;0.80490;1.0039;0.3507;0.3127;0.7752;0.6913;-0.1990;-0.1775;0.1706;0.1521;0.1389;0.1239;0.0317;0.0283;0.0000;0.0000;;555.32196820368;6.41979177423766000000000000;6.41979177423766000000000000;86.841524%;86.841524%;86.841524%;86.841524%;59.794351%;59.794351%;27.047173%;27.047173%;-15.350952%;-15.350952%;68.854562%;31.145438%;13.158476%;13.158476%;10.713549%;10.713549%;2.444926%;2.444926%;81.419380%;18.580620%;1.156049%;1.156049%
CZE;2021;8.54190;9.4840;3.5349;5.9491;-0.9421;0.8401;-0.0041;0.8442;0.0000;3.96118;4.3981;1.89108;2.3280;1.6393;0.8677;2.7588;1.4603;-0.4369;-0.2312;0.3896;0.2062;-0.0019;-0.0010;0.3915;0.2072;0.0000;0.0000;;407.39587848230;10.32405105726800000000000000;10.32405105726800000000000000;91.862954%;91.862954%;91.862954%;91.862954%;57.623346%;57.623346%;34.239607%;34.239607%;-9.125046%;-9.125046%;62.727513%;37.272487%;8.137046%;8.137046%;-0.040189%;-0.040189%;8.177235%;8.177235%;-0.493902%;100.493902%;2.534157%;2.534157%
DNK;2021;28.00327;6.0091;-0.1219;6.1310;21.9942;40.8848;34.4040;6.4808;0.0000;8.41944;1.8067;8.54454;1.9318;-0.0367;-0.0392;1.8434;1.9710;6.6128;7.0706;12.2924;13.1436;10.3439;11.0601;1.9485;2.0834;0.0000;0.0000;;311.06354290108;46.89389015945600000000000000;46.89389015945600000000000000;12.814238%;12.814238%;12.814238%;12.814238%;13.074278%;13.074278%;-0.260040%;-0.260040%;46.902009%;46.902009%;102.029304%;-2.029304%;87.185762%;87.185762%;73.365641%;73.365641%;13.820121%;13.820121%;84.148649%;15.851351%;15.075341%;15.075341%
EST;2021;0.51941;0.5194;0.1732;0.3462;0.0000;0.0566;0.0481;0.0085;0.0000;1.93120;1.9312;1.13132;1.1313;0.6440;0.3772;1.2872;0.7541;0.0000;0.0000;0.2105;0.1233;0.1788;0.1048;0.0317;0.0186;0.0000;0.0000;;45.91157281875;0.57602335826777500000000000;0.57602335826777500000000000;90.171503%;90.171503%;90.171503%;90.171503%;60.103379%;60.103379%;30.068124%;30.068124%;0.000000%;0.000000%;66.654517%;33.345483%;9.828497%;9.828497%;8.349221%;8.349221%;1.479276%;1.479276%;84.949112%;15.050888%;1.254637%;1.254637%
FIN;2021;0.71858;4.9856;2.5735;2.4121;-4.2670;-2.1450;-1.3851;-0.7600;3.4269;0.28208;1.9571;0.28841;1.9634;1.0102;1.0135;0.9469;0.9499;-1.6750;-1.6804;0.5032;0.5048;-0.5437;-0.5455;-0.2983;-0.2993;1.3452;1.3496;;253.92231856471;2.84053570518809000000000000;7.13057286718544000000000000;69.918005%;69.918005%;175.514579%;175.514579%;33.827380%;84.916587%;36.090625%;90.597992%;-59.840614%;-150.217389%;48.381501%;51.618499%;-30.081995%;-75.514579%;-19.424235%;-48.760494%;-10.657760%;-26.754086%;64.570967%;35.429033%;1.118663%;2.808171%
GRC;2021;12.03237;11.8835;0.8424;11.0411;0.1488;-2.3710;-2.6538;0.2828;0.0000;5.90103;5.8280;4.01388;3.9409;0.4131;0.2794;5.4149;3.6615;0.0730;0.0494;-1.1628;-0.7863;-1.3015;-0.8801;0.1387;0.0938;0.0000;0.0000;;301.54474727050;9.51257755561234000000000000;14.25447817300320000000000000;83.366979%;83.366979%;124.924373%;124.924373%;77.457376%;116.068907%;5.909603%;8.855466%;1.044200%;1.564720%;92.911338%;7.088662%;-16.633021%;-24.924373%;-18.617057%;-27.897426%;1.984036%;2.973053%;111.928296%;-11.928296%;3.154616%;4.727152%
ISL;2021;1.37074;1.2954;0.0746;1.2208;0.0753;-0.6816;0.0000;-0.6816;0.0000;6.61235;6.2490;7.15662;6.7933;0.3601;0.3914;5.8889;6.4018;0.3633;0.3950;-3.2881;-3.5745;0.0000;0.0000;-3.2881;-3.5745;0.0000;0.0000;;19.06914282116;0.61378858033745500000000000;1.97705265635212000000000000;65.522818%;65.522818%;211.053229%;211.053229%;61.747365%;198.892249%;3.775454%;12.160980%;3.809725%;12.271371%;94.237956%;5.762044%;-34.477182%;-111.053229%;0.000000%;0.000000%;-34.477182%;-111.053229%;0.000000%;100.000000%;3.218753%;10.367811%
IRL;2021;27.60731;26.7576;2.0608;24.6968;0.8497;5.2628;2.0164;3.2464;0.0000;7.43198;7.2032;6.63176;6.4030;0.5548;0.4931;6.6485;5.9099;0.2287;0.2033;1.4168;1.2594;0.5428;0.4825;0.8739;0.7769;0.0000;0.0000;;417.89075855828;32.02041545734510000000000000;32.02041545734510000000000000;83.564178%;83.564178%;83.564178%;83.564178%;77.128382%;77.128382%;6.435795%;6.435795%;2.653674%;2.653674%;92.298380%;7.701620%;16.435822%;16.435822%;6.297262%;6.297262%;10.138561%;10.138561%;38.314247%;61.685753%;7.662389%;7.662389%
ISR;2021;16.02396;16.0082;4.9421;11.0660;0.0158;4.1554;1.0737;3.0817;0.0000;4.47022;4.4658;4.67973;4.6753;1.3787;1.4434;3.0871;3.2319;0.0044;0.0046;1.1592;1.2136;0.2995;0.3136;0.8597;0.9000;0.0000;0.0000;;342.39670930134;20.16352307821940000000000000;20.16352307821940000000000000;79.391646%;79.391646%;79.391646%;79.391646%;54.881306%;54.881306%;24.510340%;24.510340%;0.078406%;0.078406%;69.127306%;30.872694%;20.608354%;20.608354%;5.324928%;5.324928%;15.283426%;15.283426%;25.838687%;74.161313%;5.888936%;5.888936%
LVA;2021;0.93070;0.9307;0.4401;0.4906;0.0000;-0.3093;0.0402;-0.3495;0.0000;3.08587;3.0859;1.67928;1.6793;1.4591;0.7940;1.6267;0.8852;0.0000;0.0000;-1.0257;-0.5581;0.1332;0.0725;-1.1589;-0.6306;0.0000;0.0000;;55.42258974000;0.62136180808101800000000000;1.24004021437536000000000000;75.054099%;75.054099%;149.784071%;149.784071%;39.565144%;78.959422%;35.488955%;70.824649%;0.000000%;0.000000%;52.715500%;47.284500%;-24.945901%;-49.784071%;3.239754%;6.465517%;-28.185655%;-56.249587%;-12.987119%;112.987119%;1.121135%;2.237427%
LTU;2021;0.91993;1.8127;0.5309;1.2819;-0.8928;-0.3828;0.0694;-0.4523;0.0000;1.90791;3.7595;0.01454;1.8662;1.1010;0.5465;2.6585;1.3197;-1.8516;-0.9191;-0.7940;-0.3941;0.1440;0.0715;-0.9380;-0.4656;0.0000;0.0000;;97.13607334840;1.42988315540538000000000000;2.19557136637026000000000000;82.562894%;82.562894%;126.774503%;126.774503%;58.383844%;89.647812%;24.179050%;37.126690%;-40.663532%;-62.438450%;70.714387%;29.285613%;-17.437106%;-26.774503%;3.162858%;4.856538%;-20.599964%;-31.631040%;-18.138666%;118.138666%;1.472041%;2.260305%
LUX;2021;0.12445;0.1220;0.1147;0.0072;0.0025;0.0088;0.0012;0.0075;-0.0087;0.18698;0.1833;0.18757;0.1839;0.1724;0.1729;0.0109;0.0109;0.0037;0.0037;0.0001;0.0001;0.0018;0.0018;0.0113;0.0114;-0.0131;-0.0131;;66.34348446884;0.13072963758621700000000000;0.13072963758621700000000000;93.304125%;93.304125%;93.304125%;93.304125%;5.541414%;5.541414%;87.762712%;87.762712%;1.890950%;1.890950%;5.939087%;94.060913%;6.695875%;6.695875%;0.923569%;0.923569%;5.772306%;5.772306%;13.793103%;86.206897%;0.197050%;0.197050%
NLD;2021;52.18794;53.4053;12.2295;41.1758;-1.2174;-34.2705;0.0000;-34.2705;0.0000;6.21100;6.3559;5.58260;5.7275;1.4555;1.3116;4.9004;4.4159;-0.1449;-0.1306;-4.0786;-3.6754;0.0000;0.0000;-4.0786;-3.6754;0.0000;0.0000;;932.44043441875;19.13480632226930000000000000;87.67583267916650000000000000;60.912247%;60.912247%;279.100392%;279.100392%;46.963677%;215.187936%;13.948570%;63.912456%;-1.388499%;-6.362111%;77.100549%;22.899451%;-39.087753%;-179.100392%;0.000000%;0.000000%;-39.087753%;-179.100392%;0.000000%;100.000000%;2.052121%;9.402835%
NZL;2021;0.45804;0.4580;0.7884;-0.3304;0.0000;-1.5737;0.5904;-2.1641;0.0000;0.22571;0.2257;0.23614;0.2361;0.3885;0.4065;-0.1628;-0.1703;0.0000;0.0000;-0.7754;-0.8113;0.2909;0.3044;-1.0664;-1.1157;0.0000;0.0000;;193.97380504055;-1.11561163779275000000000000;2.03170000177681000000000000;22.544873%;22.544873%;-41.057673%;-41.057673%;-16.262448%;29.616414%;38.807321%;-70.674087%;0.000000%;0.000000%;-72.133688%;172.133688%;-77.455127%;141.057673%;29.060315%;-52.923293%;-106.515442%;193.980966%;-37.518904%;137.518904%;-0.575135%;1.047409%
NOR;2021;10.56820;10.5682;1.4818;9.0864;0.0000;0.8630;0.8231;0.0399;0.0000;2.57604;2.5760;3.19808;3.1981;0.3612;0.4484;2.2149;2.7497;0.0000;0.0000;0.2104;0.2612;0.2006;0.2491;0.0097;0.0121;0.0000;0.0000;;330.45426768437;11.43122945065440000000000000;11.43122945065440000000000000;92.450206%;92.450206%;92.450206%;92.450206%;79.487806%;79.487806%;12.962401%;12.962401%;0.000000%;0.000000%;85.979046%;14.020954%;7.549794%;7.549794%;7.200731%;7.200731%;0.349063%;0.349063%;95.376527%;4.623473%;3.459247%;3.459247%
PRT;2021;-4.74086;2.9960;0.0066;2.9894;-7.7369;-1.6727;0.0000;-1.6727;0.0000;-2.13204;1.3474;-2.60136;0.8780;0.0030;0.0019;1.3444;0.8761;-3.4794;-2.2674;-0.7522;-0.4902;0.0000;0.0000;-0.7522;-0.4902;0.0000;0.0000;;341.21592570296;1.32332507477030000000000000;4.66869106321169000000000000;64.172335%;64.172335%;226.400008%;226.400008%;64.030099%;225.898197%;0.142236%;0.501810%;-165.718203%;-584.653844%;99.778352%;0.221648%;-35.827665%;-126.400008%;0.000000%;0.000000%;-35.827665%;-126.400008%;0.000000%;100.000000%;0.387826%;1.368251%
SVK;2021;2.38877;2.3328;1.1463;1.1865;0.0560;-2.7644;0.0000;-2.7644;0.0000;2.40104;2.3448;1.34004;1.2838;1.1522;0.6309;1.1926;0.6530;0.0562;0.0308;-2.7786;-1.5213;0.0000;0.0000;-2.7786;-1.5213;0.0000;0.0000;;181.71174374815;-0.43161475024939900000000000;5.09725782682040000000000000;45.766206%;45.766206%;-540.486982%;-540.486982%;23.276969%;-274.894938%;22.489238%;-265.592044%;1.097708%;-12.963648%;50.860603%;49.139397%;-54.233794%;640.486982%;0.000000%;0.000000%;-54.233794%;640.486982%;0.000000%;100.000000%;-0.237527%;2.805134%
SVN;2021;2.80802;2.4340;-0.0553;2.4893;0.3740;0.0000;0.0000;0.0000;0.0000;5.56948;4.8277;3.94288;3.2011;-0.1097;-0.0727;4.9374;3.2738;0.7418;0.4919;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;76.03736607555;2.43401990495266000000000000;2.43401990495266000000000000;100.000000%;100.000000%;100.000000%;100.000000%;102.272182%;102.272182%;-2.272182%;-2.272182%;15.365528%;15.365528%;102.272182%;-2.272182%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;3.201084%;3.201084%
SWE;2021;0.26257;0.1498;0.0496;0.1002;0.1128;0.0881;0.0039;0.0842;0.0000;0.04776;0.0272;0.04926;0.0287;0.0090;0.0095;0.0182;0.0192;0.0205;0.0216;0.0160;0.0169;0.0007;0.0008;0.0153;0.0162;0.0000;0.0000;;521.00449074292;0.23789528313582900000000000;0.23789528313582900000000000;62.963578%;62.963578%;62.963578%;62.963578%;42.116445%;42.116445%;20.847133%;20.847133%;47.410017%;47.410017%;66.890172%;33.109828%;37.036422%;37.036422%;1.655813%;1.655813%;35.380610%;35.380610%;4.470768%;95.529232%;0.045661%;0.045661%
CHE;2021;19.99219;19.9922;4.4998;15.4924;0.0000;1.8682;0.3211;1.5471;0.0000;2.67594;2.6759;3.38384;3.3838;0.6023;0.7616;2.0736;2.6222;0.0000;0.0000;0.2501;0.3162;0.0430;0.0544;0.2071;0.2619;0.0000;0.0000;;590.81421763174;21.86041175004480000000000000;21.86041175004480000000000000;91.453865%;91.453865%;91.453865%;91.453865%;70.869557%;70.869557%;20.584309%;20.584309%;0.000000%;0.000000%;77.492139%;22.507861%;8.546135%;8.546135%;1.469035%;1.469035%;7.077099%;7.077099%;17.189469%;82.810531%;3.700048%;3.700048%
CHL;2021;12.33304;11.3284;-0.6989;12.0273;1.0046;3.2859;3.2859;0.0000;-1.4673;4.70800;4.3245;2.95062;2.5671;-0.2668;-0.1584;4.5913;2.7255;0.3835;0.2277;0.6943;0.4121;1.2544;0.7446;0.0000;0.0000;-0.5601;-0.3325;;441.28867711817;14.61436420614790000000000000;14.61436420614790000000000000;77.515764%;77.515764%;77.515764%;77.515764%;82.298126%;82.298126%;-4.782362%;-4.782362%;6.874111%;6.874111%;106.169534%;-6.169534%;22.484236%;22.484236%;22.484236%;22.484236%;0.000000%;0.000000%;100.000000%;0.000000%;3.311747%;3.311747%
COL;2021;1.85172;1.4773;0.9616;0.5157;0.3744;-0.7930;-0.8426;0.0497;0.0000;0.57613;0.4596;0.33045;0.2140;0.2992;0.1393;0.1605;0.0747;0.1165;0.0542;-0.2467;-0.1148;-0.2622;-0.1220;0.0155;0.0072;0.0000;0.0000;;690.46912883132;0.68435012885066800000000000;2.27030050174172000000000000;65.071796%;65.071796%;215.872731%;215.872731%;22.714934%;75.355763%;42.356862%;140.516968%;16.491002%;54.708152%;34.907495%;65.092505%;-34.928204%;-115.872731%;-37.116230%;-123.131408%;2.188026%;7.258676%;106.264353%;-6.264353%;0.099114%;0.328806%
CRI;2021;-0.25114;0.1533;0.0046;0.1487;-0.4045;0.0000;0.0000;0.0000;0.0000;-0.39007;0.2382;-0.46017;0.1681;0.0072;0.0051;0.2310;0.1630;-0.6282;-0.4433;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;91.23348790861;0.15333847332957800000000000;0.15333847332957800000000000;100.000000%;100.000000%;100.000000%;100.000000%;96.989294%;96.989294%;3.010706%;3.010706%;-263.781142%;-263.781142%;96.989294%;3.010706%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.168073%;0.168073%
HUN;2021;11.80245;11.8025;5.9306;5.8719;0.0000;-0.1270;0.0000;-0.1270;0.0000;8.00796;8.0080;3.80862;3.8086;4.0239;1.9138;3.9841;1.8948;0.0000;0.0000;-0.0862;-0.0410;0.0000;0.0000;-0.0862;-0.0410;0.0000;0.0000;;309.88816247971;11.67542835858920000000000000;11.92947354922090000000000000;98.935220%;98.935220%;101.087948%;101.087948%;49.221501%;50.292510%;49.713719%;50.795438%;0.000000%;0.000000%;49.751242%;50.248758%;-1.064780%;-1.087948%;0.000000%;0.000000%;-1.064780%;-1.087948%;0.000000%;100.000000%;3.767626%;3.849606%
POL;2021;-6.19337;-6.1934;1.6041;-7.7975;0.0000;-2.8692;-2.9933;0.1241;0.0000;-1.08370;-1.0837;-0.50957;-0.5096;0.2807;0.1320;-1.3644;-0.6415;0.0000;0.0000;-0.5020;-0.2361;-0.5238;-0.2463;0.0217;0.0102;0.0000;0.0000;;1215.42286899201;-9.06256618762816000000000000;9.06256618762816000000000000;68.340158%;-68.340158%;68.340158%;68.340158%;-86.040978%;86.040978%;17.700820%;-17.700820%;0.000000%;0.000000%;125.901052%;-25.901052%;-31.659842%;31.659842%;-33.029609%;33.029609%;1.369766%;-1.369766%;104.326510%;-4.326510%;-0.745631%;0.745631%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14625.45043070160000000000000000;;;;;;;;;;;;;;;;;;;;;;;
